NationalTOMsRef;Question_Name;Units;Proxy_Value;Target_Number;Target_LEV;Actual_Number_Delivered;Delivered_LEV;Project_name;Industry;Postcode;Contract_Value
NT19;Total amount (£) spent through contract with LOCAL MSMEs;£;£0,84;;;0;£0,00;Project104;Construction;ME1 ;£281.801,00
NT18;Total amount (£) spent in LOCAL supply chain;£;£0,87;;;0;£0,00;Project105;Construction;ME19 ;£1.591.529,00
NT19;Total amount (£) spent through contract with LOCAL MSMEs;£;£0,87;;;0;£0,00;Project105;Construction;ME19 ;£1.591.529,00
NT18;Total amount (£) spent in LOCAL supply chain;£;£1,14;;;0;£0,00;Project106;Construction;SL5 ;£880.582,00
NT19;Total amount (£) spent through contract with LOCAL MSMEs;£;£1,14;;;0;£0,00;Project106;Construction;SL5 ;£880.582,00
NT18;Total amount (£) spent in LOCAL supply chain;£;£1,02;;;0;£0,00;Project107;Construction;GU15 ;£1.445.758,00
NT19;Total amount (£) spent through contract with LOCAL MSMEs;£;£1,02;;;0;£0,00;Project107;Construction;GU15 ;£1.445.758,00
NT18;Total amount (£) spent in LOCAL supply chain;£;£1,14;;;20557,76;£23.419,76;Project108;Construction;RG8 ;£6.253.000,00
NT19;Total amount (£) spent through contract with LOCAL MSMEs;£;£1,14;;;36000;£41.011,83;Project108;Construction;RG8 ;£6.253.000,00
NT18;Total amount (£) spent in LOCAL supply chain;£;£1,14;;;0;£0,00;Project109;Construction;RG42 ;£4.221.000,00
NT19;Total amount (£) spent through contract with LOCAL MSMEs;£;£1,14;;;84403;£96.153,37;Project109;Construction;RG42 ;£4.221.000,00
NT18;Total amount (£) spent in LOCAL supply chain;£;£0,94;;;0;£0,00;Project110;Construction;OX13 ;£2.405.000,00
NT19;Total amount (£) spent through contract with LOCAL MSMEs;£;£0,94;;;110000;£103.485,52;Project110;Construction;OX13 ;£2.405.000,00
NT18;Total amount (£) spent in LOCAL supply chain;£;£1,14;;;16634,22;£18.949,99;Project111;Construction;SL5 ;£13.889.130,00
NT19;Total amount (£) spent through contract with LOCAL MSMEs;£;£1,14;;;233000;£265.437,66;Project111;Construction;SL5 ;£13.889.130,00
NT18;Total amount (£) spent in LOCAL supply chain;£;£0,87;;;3031115,71;£2.633.444,18;Project114;Construction;CM23 ;£6.319.837,00
NT19;Total amount (£) spent through contract with LOCAL MSMEs;£;£0,87;;;0;£0,00;Project114;Construction;CM23 ;£6.319.837,00
NT18;Total amount (£) spent in LOCAL supply chain;£;£0,87;;;846971,86;£735.852,18;Project115;Construction;CM23 ;£7.179.561,00
NT19;Total amount (£) spent through contract with LOCAL MSMEs;£;£0,87;;;0;£0,00;Project115;Construction;CM23 ;£7.179.561,00
NT18;Total amount (£) spent in LOCAL supply chain;£;£0,66;;;0;£0,00;Project116;Construction;IP28 ;£7.057.342,00
NT19;Total amount (£) spent through contract with LOCAL MSMEs;£;£0,66;;;0;£0,00;Project116;Construction;IP28 ;£7.057.342,00
NT18;Total amount (£) spent in LOCAL supply chain;£;£0,75;;;0;£0,00;Project117;Construction;TN17 ;£10.886.475,00
NT19;Total amount (£) spent through contract with LOCAL MSMEs;£;£0,75;;;0;£0,00;Project117;Construction;TN17 ;£10.886.475,00
NT18;Total amount (£) spent in LOCAL supply chain;£;£0,82;;;20947,5;£17.258,46;Project118;Construction;RH12 ;£6.343.702,00
NT19;Total amount (£) spent through contract with LOCAL MSMEs;£;£0,82;;;0;£0,00;Project118;Construction;RH12 ;£6.343.702,00
NT18;Total amount (£) spent in LOCAL supply chain;£;£0,82;;;0;£0,00;Project119;Construction;ME4 ;£2.008.265,00
NT19;Total amount (£) spent through contract with LOCAL MSMEs;£;£0,82;;;0;£0,00;Project119;Construction;ME4 ;£2.008.265,00
NT18;Total amount (£) spent in LOCAL supply chain;£;£0,60;;;0;£0,00;Project120;Construction;RM9 ;£18.195.377,00
NT19;Total amount (£) spent through contract with LOCAL MSMEs;£;£0,60;;;0;£0,00;Project120;Construction;RM9 ;£18.195.377,00
NT18;Total amount (£) spent in LOCAL supply chain;£;£0,75;;;0;£0,00;Project121;Construction;CM18 ;£16.618.765,00
NT19;Total amount (£) spent through contract with LOCAL MSMEs;£;£0,75;;;130768,6;£98.249,08;Project121;Construction;CM18 ;£16.618.765,00
NT18;Total amount (£) spent in LOCAL supply chain;£;£0,72;;;0;£0,00;Project122;Construction;CM1 ;£6.663.257,00
NT19;Total amount (£) spent through contract with LOCAL MSMEs;£;£0,72;;;0;£0,00;Project122;Construction;CM1 ;£6.663.257,00
NT18;Total amount (£) spent in LOCAL supply chain;£;£0,60;;;0;£0,00;Project123;Construction;IG11 ;£22.649.080,00
NT19;Total amount (£) spent through contract with LOCAL MSMEs;£;£0,60;;;0;£0,00;Project123;Construction;IG11 ;£22.649.080,00
NT18;Total amount (£) spent in LOCAL supply chain;£;£0,82;;;0;£0,00;Project118;Construction;RH12 ;£2.220.901,00
NT19;Total amount (£) spent through contract with LOCAL MSMEs;£;£0,82;;;0;£0,00;Project118;Construction;RH12 ;£2.220.901,00
NT18;Total amount (£) spent in LOCAL supply chain;£;£0,78;;;852300;£664.238,17;Project114;Construction;CM23 ;£16.580.175,00
NT19;Total amount (£) spent through contract with LOCAL MSMEs;£;£0,78;;;2868998;£2.235.947,43;Project114;Construction;CM23 ;£16.580.175,00
NT18;Total amount (£) spent in LOCAL supply chain;£;£0,87;;;354178;£307.711,11;Project115;Construction;CM23 ;£21.431.401,00
NT19;Total amount (£) spent through contract with LOCAL MSMEs;£;£0,87;;;0;£0,00;Project115;Construction;CM23 ;£21.431.401,00
NT18;Total amount (£) spent in LOCAL supply chain;£;£0,60;;;0;£0,00;Project126;Construction;CM1 ;£20.745.456,00
NT19;Total amount (£) spent through contract with LOCAL MSMEs;£;£0,60;;;0;£0,00;Project126;Construction;CM1 ;£20.745.456,00
NT18;Total amount (£) spent in LOCAL supply chain;£;£0,48;;;0;£0,00;Project127;Construction;CM1 ;£15.448.385,00
NT19;Total amount (£) spent through contract with LOCAL MSMEs;£;£0,48;;;0;£0,00;Project127;Construction;CM1 ;£15.448.385,00
NT18;Total amount (£) spent in LOCAL supply chain;£;£0,69;;;0;£0,00;Project128;Construction;N1 ;£10.756.010,00
NT19;Total amount (£) spent through contract with LOCAL MSMEs;£;£0,69;;;0;£0,00;Project128;Construction;N1 ;£10.756.010,00
NT18;Total amount (£) spent in LOCAL supply chain;£;£0,57;;;0;£0,00;Project129;Construction;N14 ;£19.163.288,00
NT19;Total amount (£) spent through contract with LOCAL MSMEs;£;£0,57;;;0;£0,00;Project129;Construction;N14 ;£19.163.288,00
NT18;Total amount (£) spent in LOCAL supply chain;£;£0,63;;;0;£0,00;Project130;Construction;M46 ;£20.083.275,00
NT19;Total amount (£) spent through contract with LOCAL MSMEs;£;£0,63;;;0;£0,00;Project130;Construction;M46 ;£20.083.275,00
NT18;Total amount (£) spent in LOCAL supply chain;£;£0,84;;;0;£0,00;Project131;Construction;OL1 ;£19.842.309,00
NT19;Total amount (£) spent through contract with LOCAL MSMEs;£;£0,84;;;0;£0,00;Project131;Construction;OL1 ;£19.842.309,00
NT18;Total amount (£) spent in LOCAL supply chain;£;£0,63;;;0;£0,00;Project132;Construction;WA9 ;£60.098.868,00
NT19;Total amount (£) spent through contract with LOCAL MSMEs;£;£0,63;;;0;£0,00;Project132;Construction;WA9 ;£60.098.868,00
NT18;Total amount (£) spent in LOCAL supply chain;£;£0,66;;;0;£0,00;Project133;Construction;SK5 ;£69.486.605,00
NT19;Total amount (£) spent through contract with LOCAL MSMEs;£;£0,66;;;0;£0,00;Project133;Construction;SK5 ;£69.486.605,00
NT18;Total amount (£) spent in LOCAL supply chain;£;£0,63;;;0;£0,00;Project134;Construction;L34 ;£15.055.879,00
NT19;Total amount (£) spent through contract with LOCAL MSMEs;£;£0,63;;;0;£0,00;Project134;Construction;L34 ;£15.055.879,00
NT18;Total amount (£) spent in LOCAL supply chain;£;£0,63;;;0;£0,00;Project135;Construction;M28 ;£58.639.818,00
NT19;Total amount (£) spent through contract with LOCAL MSMEs;£;£0,63;;;24;£15,22;Project135;Construction;M28 ;£58.639.818,00
NT18;Total amount (£) spent in LOCAL supply chain;£;£0,63;;;0;£0,00;Project136;Construction;WA12 ;£11.030.915,00
NT19;Total amount (£) spent through contract with LOCAL MSMEs;£;£0,63;;;0;£0,00;Project136;Construction;WA12 ;£11.030.915,00
NT18;Total amount (£) spent in LOCAL supply chain;£;£0,63;;;0;£0,00;Project137;Construction;L33 ;£22.542.783,00
NT19;Total amount (£) spent through contract with LOCAL MSMEs;£;£0,63;;;0;£0,00;Project137;Construction;L33 ;£22.542.783,00
NT18;Total amount (£) spent in LOCAL supply chain;£;£0,57;;;0;£0,00;Project138;Construction;EN3 ;£24.877.098,00
NT19;Total amount (£) spent through contract with LOCAL MSMEs;£;£0,57;;;2474165,65;£1.410.255,75;Project138;Construction;EN3 ;£24.877.098,00
NT18;Total amount (£) spent in LOCAL supply chain;£;£0,53;;;40625;£21.421,44;Project140;Construction;ME1 ;£14.914.456,00
NT19;Total amount (£) spent through contract with LOCAL MSMEs;£;£0,53;;;12915;£6.810,04;Project140;Construction;ME1 ;£14.914.456,00
NT18;Total amount (£) spent in LOCAL supply chain;£;£0,73;;;0;£0,00;Project148;Construction;EN5 ;£7.306.869,00
NT19;Total amount (£) spent through contract with LOCAL MSMEs;£;£0,73;;;0;£0,00;Project148;Construction;EN5 ;£7.306.869,00
NT18;Total amount (£) spent in LOCAL supply chain;£;£0,78;;;0;£0,00;Project105;Construction;ME19 ;£9.894.395,00
NT19;Total amount (£) spent through contract with LOCAL MSMEs;£;£0,78;;;0;£0,00;Project105;Construction;ME19 ;£9.894.395,00
NT18;Total amount (£) spent in LOCAL supply chain;£;£0,53;;;0;£0,00;Project119;Construction;ME4 ;£25.442.737,00
NT19;Total amount (£) spent through contract with LOCAL MSMEs;£;£0,53;;;0;£0,00;Project119;Construction;ME4 ;£25.442.737,00
NT18;Total amount (£) spent in LOCAL supply chain;£;£0,78;;;0;£0,00;Project103;Construction;SL5 ;£3.231.837,00
NT19;Total amount (£) spent through contract with LOCAL MSMEs;£;£0,78;;;0;£0,00;Project103;Construction;SL5 ;£3.231.837,00
NT18;Total amount (£) spent in LOCAL supply chain;£;£0,78;;;0;£0,00;Project117;Construction;TN17 ;£5.201.492,00
NT19;Total amount (£) spent through contract with LOCAL MSMEs;£;£0,78;;;0;£0,00;Project117;Construction;TN17 ;£5.201.492,00
NT18;Total amount (£) spent in LOCAL supply chain;£;£0,53;;;0;£0,00;Project104;Construction;ME1 ;£5.028.596,00
NT19;Total amount (£) spent through contract with LOCAL MSMEs;£;£0,53;;;0;£0,00;Project104;Construction;ME1 ;£5.028.596,00
NT18;Total amount (£) spent in LOCAL supply chain;£;£0,62;;;0;£0,00;Project121;Construction;CM18 ;£24.695.410,00
NT19;Total amount (£) spent through contract with LOCAL MSMEs;£;£0,62;;;0;£0,00;Project121;Construction;CM18 ;£24.695.410,00
NT18;Total amount (£) spent in LOCAL supply chain;£;£0,69;;;0;£0,00;Project153;Construction;IG7 ;£21.744.555,00
NT19;Total amount (£) spent through contract with LOCAL MSMEs;£;£0,69;;;0;£0,00;Project153;Construction;IG7 ;£21.744.555,00
NT18;Total amount (£) spent in LOCAL supply chain;£;£0,72;;;0;£0,00;Project126;Construction;CM1 ;£17.606.000,00
NT19;Total amount (£) spent through contract with LOCAL MSMEs;£;£0,72;;;0;£0,00;Project126;Construction;CM1 ;£17.606.000,00
NT18;Total amount (£) spent in LOCAL supply chain;£;£0,63;;;0;£0,00;Project155;Construction;WA7 ;£20.933.699,00
NT19;Total amount (£) spent through contract with LOCAL MSMEs;£;£0,63;;;0;£0,00;Project155;Construction;WA7 ;£20.933.699,00
NT18;Total amount (£) spent in LOCAL supply chain;£;£0,89;;;0;£0,00;Project118;Construction;RH12 ;£3.770.214,00
NT19;Total amount (£) spent through contract with LOCAL MSMEs;£;£0,89;;;0;£0,00;Project118;Construction;RH12 ;£3.770.214,00
NT18;Total amount (£) spent in LOCAL supply chain;£;£0,89;;;0;£0,00;Project106;Construction;SL5 ;£4.576.122,00
NT19;Total amount (£) spent through contract with LOCAL MSMEs;£;£0,89;;;0;£0,00;Project106;Construction;SL5 ;£4.576.122,00
NT18;Total amount (£) spent in LOCAL supply chain;£;£0,66;;;0;£0,00;Project107;Construction;GU15 ;£6.784.567,00
NT19;Total amount (£) spent through contract with LOCAL MSMEs;£;£0,66;;;0;£0,00;Project107;Construction;GU15 ;£6.784.567,00
NT18;Total amount (£) spent in LOCAL supply chain;£;£0,78;;;0;£0,00;Project108;Construction;RG8 ;£6.976.444,00
NT19;Total amount (£) spent through contract with LOCAL MSMEs;£;£0,78;;;0;£0,00;Project108;Construction;RG8 ;£6.976.444,00
NT18;Total amount (£) spent in LOCAL supply chain;£;£0,87;;;0;£0,00;Project138;Construction;EN3 ;£7.464.619,00
NT19;Total amount (£) spent through contract with LOCAL MSMEs;£;£0,87;;;0;£0,00;Project138;Construction;EN3 ;£7.464.619,00
NT18;Total amount (£) spent in LOCAL supply chain;£;£0,66;;;0;£0,00;Project120;Construction;RM9 ;£15.071.850,00
NT19;Total amount (£) spent through contract with LOCAL MSMEs;£;£0,66;;;0;£0,00;Project120;Construction;RM9 ;£15.071.850,00
NT1;No. local people (FTE) employed on contract;no. people FTE;£37.209,00;9;£334.881,00;76;£2.827.884,00;Project159;Construction;IG11 ;£41.500.000,00
NT18;Total amount (£) spent in LOCAL supply chain through the contract.;£;£0,60;15500000;£9.238.000,00;3210859;£1.913.671,96;Project159;Construction;IG11 ;£41.500.000,00
NT19;Total amount (£) spent with LOCAL MSMEs;£;£0,60;;;0;£0,00;Project159;Construction;IG11 ;£41.500.000,00
NT18;Total amount (£) spent in LOCAL supply chain;£;£0,54;;;0;£0,00;Project161;Construction;LE67 ;£2.747.190,00
NT19;Total amount (£) spent through contract with LOCAL MSMEs;£;£0,54;;;0;£0,00;Project161;Construction;LE67 ;£2.747.190,00
NT18;Total amount (£) spent in LOCAL supply chain;£;£0,56;;;0;£0,00;Project162;Construction;DE7 ;£8.085.707,00
NT19;Total amount (£) spent through contract with LOCAL MSMEs;£;£0,56;;;0;£0,00;Project162;Construction;DE7 ;£8.085.707,00
NT18;Total amount (£) spent in LOCAL supply chain;£;£0,65;;;0;£0,00;Project163;Construction;LE19 ;£6.212.000,00
NT19;Total amount (£) spent through contract with LOCAL MSMEs;£;£0,65;;;0;£0,00;Project163;Construction;LE19 ;£6.212.000,00
NT18;Total amount (£) spent in LOCAL supply chain;£;£1,17;;;121850;£142.318,88;Project089;Construction;TW3 ;£37.882.425,00
NT19;Total amount (£) spent through contract with LOCAL MSMEs;£;£1,17;;;0;£0,00;Project089;Construction;TW3 ;£37.882.425,00
NT18;Total amount (£) spent in LOCAL supply chain;£;£0,78;;;10125;£7.890,90;Project114;Construction;CM23 ;£36.837.515,00
NT19;Total amount (£) spent through contract with LOCAL MSMEs;£;£0,78;;;0;£0,00;Project114;Construction;CM23 ;£36.837.515,00
NT18;Total amount (£) spent in LOCAL supply chain;£;£0,78;;;523008;£407.605,16;Project114;Construction;CM23 ;£45.467.653,00
NT19;Total amount (£) spent through contract with LOCAL MSMEs;£;£0,78;;;0;£0,00;Project114;Construction;CM23 ;£45.467.653,00
NT18;Total amount (£) spent in LOCAL supply chain;£;£0,81;;;0;£0,00;Project169;Construction;PE2 ;£4.387.170,00
NT19;Total amount (£) spent through contract with LOCAL MSMEs;£;£0,81;;;0;£0,00;Project169;Construction;PE2 ;£4.387.170,00
NT18;Total amount (£) spent in LOCAL supply chain;£;£0,56;;;0;£0,00;Project170;Construction;DE5 ;£9.557.380,00
NT19;Total amount (£) spent through contract with LOCAL MSMEs;£;£0,56;;;0;£0,00;Project170;Construction;DE5 ;£9.557.380,00
NT18;Total amount (£) spent in LOCAL supply chain;£;£0,54;;;0;£0,00;Project171;Construction;NG21 ;£3.441.655,00
NT19;Total amount (£) spent through contract with LOCAL MSMEs;£;£0,54;;;0;£0,00;Project171;Construction;NG21 ;£3.441.655,00
NT18;Total amount (£) spent in LOCAL supply chain;£;£0,63;;;0;£0,00;Project172;Construction;LE5 ;£5.290.201,00
NT19;Total amount (£) spent through contract with LOCAL MSMEs;£;£0,63;;;0;£0,00;Project172;Construction;LE5 ;£5.290.201,00
NT18;Total amount (£) spent in LOCAL supply chain;£;£0,65;;;0;£0,00;Project173;Construction;LE6 ;£5.767.171,00
NT19;Total amount (£) spent through contract with LOCAL MSMEs;£;£0,65;;;0;£0,00;Project173;Construction;LE6 ;£5.767.171,00
NT18;Total amount (£) spent in LOCAL supply chain;£;£0,65;;;0;£0,00;Project174;Construction;LE67 ;£2.148.138,00
NT19;Total amount (£) spent through contract with LOCAL MSMEs;£;£0,65;;;0;£0,00;Project174;Construction;LE67 ;£2.148.138,00
NT18;Total amount (£) spent in LOCAL supply chain;£;£0,63;;;0;£0,00;Project175;Construction;LE4 ;£10.965.517,00
NT19;Total amount (£) spent through contract with LOCAL MSMEs;£;£0,63;;;0;£0,00;Project175;Construction;LE4 ;£10.965.517,00
NT18;Total amount (£) spent in LOCAL supply chain;£;£0,63;;;0;£0,00;Project176;Construction;LE2 ;£16.564.000,00
NT19;Total amount (£) spent through contract with LOCAL MSMEs;£;£0,63;;;0;£0,00;Project176;Construction;LE2 ;£16.564.000,00
NT18;Total amount (£) spent in LOCAL supply chain;£;£0,65;;;0;£0,00;Project178;Construction;LE10 ;£4.353.072,00
NT19;Total amount (£) spent through contract with LOCAL MSMEs;£;£0,65;;;0;£0,00;Project178;Construction;LE10 ;£4.353.072,00
NT18;Total amount (£) spent in LOCAL supply chain;£;£0,83;;;0;£0,00;Project179;Construction;M30 ;£10.125.000,00
NT19;Total amount (£) spent through contract with LOCAL MSMEs;£;£0,83;;;0;£0,00;Project179;Construction;M30 ;£10.125.000,00
NT18;Total amount (£) spent in LOCAL supply chain;£;£0,46;;;0;£0,00;Project180;Construction;TF11 ;£13.992.991,00
NT19;Total amount (£) spent through contract with LOCAL MSMEs;£;£0,46;;;0;£0,00;Project180;Construction;TF11 ;£13.992.991,00
NT18;Total amount (£) spent in LOCAL supply chain;£;£0,53;;;0;£0,00;Project186;Construction;M27 ;£459.433,00
NT19;Total amount (£) spent through contract with LOCAL MSMEs;£;£0,53;;;0;£0,00;Project186;Construction;M27 ;£459.433,00
NT18;Total amount (£) spent in LOCAL supply chain;£;£0,94;;;0;£0,00;Project189;Construction;OX26 ;£7.288.430,00
NT19;Total amount (£) spent through contract with LOCAL MSMEs;£;£0,94;;;0;£0,00;Project189;Construction;OX26 ;£7.288.430,00
NT18;Total amount (£) spent in LOCAL supply chain;£;£0,89;;;0;£0,00;Project190;Construction;RH12 ;£1.235.160,00
NT19;Total amount (£) spent through contract with LOCAL MSMEs;£;£0,89;;;0;£0,00;Project190;Construction;RH12 ;£1.235.160,00
NT18;Total amount (£) spent in LOCAL supply chain;£;£0,82;;;0;£0,00;Project191;Construction;CB2 ;£1.214.578,00
NT19;Total amount (£) spent through contract with LOCAL MSMEs;£;£0,82;;;0;£0,00;Project191;Construction;CB2 ;£1.214.578,00
NT18;Total amount (£) spent in LOCAL supply chain;£;£0,66;;;0;£0,00;Project192;Construction;IP32 ;£1.861.795,00
NT19;Total amount (£) spent through contract with LOCAL MSMEs;£;£0,66;;;0;£0,00;Project192;Construction;IP32 ;£1.861.795,00
NT18;Total amount (£) spent in LOCAL supply chain;£;£0,78;;;0;£0,00;Project114;Construction;CM23 ;£61.955.628,00
NT19;Total amount (£) spent through contract with LOCAL MSMEs;£;£0,78;;;29582,54;£23.055,09;Project114;Construction;CM23 ;£61.955.628,00
NT18;Total amount (£) spent in LOCAL supply chain;£;£0,96;;;0;£0,00;Project193;Construction;B37 ;£4.591.000,00
NT19;Total amount (£) spent through contract with LOCAL MSMEs;£;£0,96;;;0;£0,00;Project193;Construction;B37 ;£4.591.000,00
NT18;Total amount (£) spent in LOCAL supply chain;£;£0,67;;;0;£0,00;Project194;Construction;CV2 ;£2.865.000,00
NT19;Total amount (£) spent through contract with LOCAL MSMEs;£;£0,67;;;0;£0,00;Project194;Construction;CV2 ;£2.865.000,00
NT18;Total amount (£) spent in LOCAL supply chain;£;£0,67;;;0;£0,00;Project194;Construction;CV2 ;£5.222.359,00
NT19;Total amount (£) spent through contract with LOCAL MSMEs;£;£0,67;;;0;£0,00;Project194;Construction;CV2 ;£5.222.359,00
NT18;Total amount (£) spent in LOCAL supply chain;£;£0,74;;;0;£0,00;Project195;Construction;NN3 ;£8.865.978,00
NT19;Total amount (£) spent through contract with LOCAL MSMEs;£;£0,74;;;0;£0,00;Project195;Construction;NN3 ;£8.865.978,00
NT18;Total amount (£) spent in LOCAL supply chain;£;£0,87;;;0;£0,00;Project196;Construction;CV10 ;£6.783.000,00
NT19;Total amount (£) spent through contract with LOCAL MSMEs;£;£0,87;;;0;£0,00;Project196;Construction;CV10 ;£6.783.000,00
NT18;Total amount (£) spent in LOCAL supply chain;£;£0,67;;;0;£0,00;Project197;Construction;CV6 ;£7.597.592,00
NT19;Total amount (£) spent through contract with LOCAL MSMEs;£;£0,67;;;0;£0,00;Project197;Construction;CV6 ;£7.597.592,00
NT18;Total amount (£) spent in LOCAL supply chain;£;£0,52;;;128073,21;£66.644,32;Project198;Construction;OL11 ;£11.849.126,00
NT19;Total amount (£) spent through contract with LOCAL MSMEs;£;£0,52;;;0;£0,00;Project198;Construction;OL11 ;£11.849.126,00
NT18;Total amount (£) spent in LOCAL supply chain;£;£0,66;;;0;£0,00;Project199;Construction;B33 ;£6.338.446,00
NT19;Total amount (£) spent through contract with LOCAL MSMEs;£;£0,66;;;0;£0,00;Project199;Construction;B33 ;£6.338.446,00
NT18;Total amount (£) spent in LOCAL supply chain;£;£0,57;;;4263;£2.418,85;Project180;Construction;TF11 ;£8.762.211,00
NT19;Total amount (£) spent through contract with LOCAL MSMEs;£;£0,57;;;0;£0,00;Project180;Construction;TF11 ;£8.762.211,00
NT18;Total amount (£) spent in LOCAL supply chain;£;£0,66;;;0;£0,00;Project200;Construction;B33 ;£5.949.000,00
NT19;Total amount (£) spent through contract with LOCAL MSMEs;£;£0,66;;;0;£0,00;Project200;Construction;B33 ;£5.949.000,00
NT18;Total amount (£) spent in LOCAL supply chain;£;£0,66;;;0;£0,00;Project199;Construction;B33 ;£2.572.902,00
NT19;Total amount (£) spent through contract with LOCAL MSMEs;£;£0,66;;;0;£0,00;Project199;Construction;B33 ;£2.572.902,00
NT18;Total amount (£) spent in LOCAL supply chain;£;£0,53;;;0;£0,00;Project201;Construction;B66 ;£6.304.717,00
NT19;Total amount (£) spent through contract with LOCAL MSMEs;£;£0,53;;;0;£0,00;Project201;Construction;B66 ;£6.304.717,00
NT18;Total amount (£) spent in LOCAL supply chain;£;£0,64;;;0;£0,00;Project179;Construction;M30 ;£9.918.055,00
NT19;Total amount (£) spent through contract with LOCAL MSMEs;£;£0,64;;;0;£0,00;Project179;Construction;M30 ;£9.918.055,00
NT18;Total amount (£) spent in LOCAL supply chain;£;£0,52;;;52778,77;£27.464,02;Project202;Construction;WV2 ;£9.621.844,00
NT19;Total amount (£) spent through contract with LOCAL MSMEs;£;£0,52;;;0;£0,00;Project202;Construction;WV2 ;£9.621.844,00
NT18;Total amount (£) spent in LOCAL supply chain;£;£0,72;;;0;£0,00;Project126;Construction;CM1 ;£15.301.000,00
NT19;Total amount (£) spent through contract with LOCAL MSMEs;£;£0,72;;;0;£0,00;Project126;Construction;CM1 ;£15.301.000,00
NT18;Total amount (£) spent in LOCAL supply chain;£;£0,72;;;0;£0,00;Project126;Construction;CM1 ;£13.267.000,00
NT19;Total amount (£) spent through contract with LOCAL MSMEs;£;£0,72;;;0;£0,00;Project126;Construction;CM1 ;£13.267.000,00
